title,url,company,description
Инженер по сетям в IT (г. Екатеринбург),https://ekaterinburg.hh.ru/vacancy/35321358?query=python,ООО ТРАСТ-НОРД,"Обработка поступающих заявок в системе ServiceDesk (2-я линия). Управление КСПД (корпоративная сеть передачи данных) компании. Внедрение новых технологий, развитие... Опыт работы с телефонией (Cisco CME, Asterisk). Умение автоматизировать свою работу (Bash, Python, PowerShell). Опыт работы с системами мониторинга Zabbix..."
Тестировщик ПО,https://ekaterinburg.hh.ru/vacancy/34954109?query=python, Восточный Ветер,"Написание тест кейсов. Ручное тестирование. Написание автоматизированных тестов. Функциональное тестирование. Локализация и документирование дефектов. Желание заниматься тестированием. Понимание видов, методов и целей тестирования. Умение составлять тест-кейсы и проводить функциональное тестирование. Умение писать автоматизированные..."
Специалист по тестированию на проникновение (pentest),https://ekaterinburg.hh.ru/vacancy/35548801?query=python, Инфосистемы Джет,"Внешние и внутренние тестирования на проникновение. Анализ защищенности веб-приложений. Анализ защищенности WiFi. Тестирования методом социальной инженерии. Анализ мобильных приложений. Наличие навыков в области разработки ПО, умение читать и анализировать исходный код на распространенных языках программирования (Python, Powershell, C, Java..."
Руководитель направления риск-моделирования,https://ekaterinburg.hh.ru/vacancy/35553580?query=python, Credit.Club,"Улучшение работы кредитного конвейера, разработка и реализация новых моделей риск-менеджмента, поддержание и модернизация уже существующей системы. Тестирование, мониторинг качества... Навык построения скоринговых моделей. Опыт автоматизации процессов риск-менеджмента. Уверенное знание SQL, Python. Высшее экономическое, математическое или техническое образование. "
Разработчик back-end,https://ekaterinburg.hh.ru/vacancy/35553359?query=python, Уральская горно-металлургическая компания,"Создание и поддержка веб-приложений (веб-сервисов). Разработка интерфейсных компонентов (вёрстка, логика). Разработка высоконагруженных микросервисных систем. Опыт разработки от года на одном языке из: C/C++, Java, Golang, Python (Django, Flask, Web2py, CherryPy, Pyramid..."
Системный инженер Linux,https://ekaterinburg.hh.ru/vacancy/35424085?query=python,ООО Парфюмерный супермаркет Золотое Яблоко,"Администрирование и поддержка серверной инфраструктуры. Администрирование систем виртуализации. Администрирование почтовых систем. Администрирование систем мониторинга. Администрирование СУБД MySQL/PostgreSQL.  Опыт и уверенное администрирования ОС Linux (CentOS, Debian, openSUSE). Опыт работы с базами данных MySQL и Postgres на уровне администратора. "
QA инженер (тестировщик),https://ekaterinburg.hh.ru/vacancy/34599613?query=python,ООО Очень Интересно,"Тестирование мобильных / веб-приложений. Кроссбраузерное / кроссплатформенное тестирование. Проводить smoke, регрессионное, функциональное, исследовательское тестирование. Документирование найденных дефектов. Совместная работа с разработчиками... Знаете теорию, принципы, техники тестирования ПО и умеете применять их на практике. Умеете детально разбираться в спецификациях и требованиях проекта. "
Архитектор / Senior Python Developer,https://ekaterinburg.hh.ru/vacancy/35529120?query=python, Тинькофф,"Доносить свои идеи по улучшению сервиса и процессов до команды. Участвовать в планировании будущего проекта, принимать архитектурные решения и писать... Стек: Python 3.7/3.8, Fast API, Kubernetes, PostgreSQL, Kafka, Prometheus. Проектировать архитектуру и разрабатывать новую версию диалоговой платформы..."
Team Lead (проект на c#),https://ekaterinburg.hh.ru/vacancy/34680532?query=python, IT-People.ru,"Сейчас запускается процесс согласования требований и подготовки спецификаций на разработку нового проекта для этого заказчика. Это система, аналог 1С... Иностранный заказчик, можно быстро прокачать свой английский сразу на практике. При входе важно уметь читать и писать на английском. "
"Senior Python (Team Lead) Developer, Global Recorded Music Company",https://ekaterinburg.hh.ru/vacancy/35142580?query=python, DataArt,"Планируется расширение команды и рост проектов компании. На очереди разработка инструментов процессинга новых исполнителей и треков, управление лицензиями и правами... Опыт программирования на Python не менее 3-х лет. Опыт и желание лидирования разработки в распределенных командах. Знание Django, Flask. "
